Step,Transaction Code,Configuration Description,Technical Scope,Enterprise Data Mapping & Functional Logic Rules
1,OX14,Define Valuation Level,Client Level,Valuation must be established uniformly at the Plant level (Mandatory for S/4HANA Material Ledger)
2,OX10,Define Logistics Plants,Plant Level,"Configure active manufacturing facilities: IN01 (M001 - Mumbai), IN02 (M002 - Bangalore), DE01 (M003 - Stuttgart)"
3,OIAS,Define Plant Locations,Plant Level,Establish functional physical branch regional coordinates linked directly to target Plants
4,OX09,Define Storage Locations,Plant Level,"Setup operational inventory rooms: SL01 (Raw Materials), SL02 (Finished Goods) nested under Plants IN01 and DE01"
5,OVXB,Define Division Logistics,Client Level,Create corporate product divisional classification code: A9 to categorize material groups
6,OX18,Assign Plant to Company Code,Linkage Matrix,"Map physical sites to legal ledger entities: Plant IN01 -> CoCode M001, Plant IN02 -> CoCode M002, Plant DE01 -> CoCode M003"
7,OX08,Define Purchasing Organization,Client Level,"Create commercial negotiation units: PU01 (Mahayana India Purchasing), PU03 (Mahayana Germany Purchasing)"
8,OX01,Assign Purchasing Org to Company Code,Linkage Matrix,Bind legal financial entities to commercial entities: PU01 -> Company Code M001 | PU03 -> Company Code M003
9,OX17,Assign Purchasing Org to Plant,Linkage Matrix,Authorizes transactional cross-flows: Bind PU01 to Plants IN01/IN02 and PU03 to Plant DE01
10,OME4,Define Buyer Purchasing Groups,Client Level,Deploy operational planner groups (e.g. AP9) to manage procurement release loops
11,OMSF,Define Material Groups,Client Level,Establish broad material material tracking keys: AP90 to categorize items across the global portfolio
12,OMSY,Initialize Material Management Periods,Company Code,"Set initial operational booking periods: Initialize Company Codes M001, M002, M003 to Year 2026 / Period 05"
13,OMS2,Define Material Attribute Updates,Valuation Area,"For standard material types (ROH, HALB, FERT), explicitly activate Quantity and Value tracking at Plant level"
14,IMG-MM,Set Purchasing Price Tolerances,Company Code,Configure Price Variance parameters (PE / SE tolerance keys) to limit Purchase Order pricing exceptions
15,OMC0,Set Goods Receipt (GR) Tolerance Limits,Company Code,Define tolerance thresholds (B1 / B2 / VP keys) governing inventory receipt receipt volume shortages
16,OMR2,Configure Default Invoice Tax Codes,Company Code,Map automatic tax configuration default flags derived from regional country tax procedures
17,OKB9,Default Account Assignment Rules,Company Code,Predefine fallback Cost Centers or Profit Centers to catch unexpected inventory variance flows
18,OMR6,Set Invoice Verification Tolerances,Company Code,"Establish strict invoice limit blocks using tolerance keys: AN, AP, BD, BR, BW, DQ, DW, KW, PP, PS"
19,OMX2,Define Material Ledger Types,Client Level,Configure master parallel valuation structure: Create Material Ledger Type MAML tracking Group currency
20,OMX3,Assign ML Type to Valuation Area,Valuation Area,Bind active Plants IN01, IN02, and DE01 directly to the corporate Material Ledger Type MAML
21,OMX1,Activate Material Ledger Areas,Valuation Area,Turn status flag to Active and set Price Determination valuation rule to 2 (Transaction-Based Valuation)
22,CKMSTART,Material Ledger Production Startup,System Activation,Execute mandatory database activation routine to finalize ledger structures for Plants IN01, IN02, DE01
